LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-11,100.8469,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2017-12,100.8389,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-01,100.8587,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-02,100.8989,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-03,100.9136,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-04,100.8883,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-05,100.8653,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-06,100.8588,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-07,100.8624,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-08,100.8161,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-09,100.7542,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-10,100.6694,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-11,100.5732,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2018-12,100.4854,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-01,100.427,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-02,100.4757,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-03,100.5536,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-04,100.5794,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-05,100.5491,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-06,100.4589,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-07,100.3318,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-08,100.1852,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-09,100.1554,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-10,100.2149,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-11,100.3325,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2019-12,100.4608,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2006-08,100.2297,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2006-09,100.2857,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2006-10,100.3443,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2006-11,100.4197,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2006-12,100.4734,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-01,100.4786,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-02,100.5258,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-03,100.6184,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-04,100.7451,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-05,100.8869,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-06,100.9305,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-07,100.8655,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-08,100.6811,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-09,100.4509,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-10,100.2181,
EA19,CCI,AMPLITUD,LTRENDIDX,M,2007-11,99.94637,
