Datum,Zuletzt,Eröffn.,Hoch,Tief,Vol.,+/- %
Jun. 2011,2.848,53,2.868,54,2.871,69,2.692,95,2,37B,-0,47%
Mai 2011,2.861,92,3.025,00,3.029,68,2.777,73,2,33B,-4,96%
Apr. 2011,3.011,25,2.923,02,3.012,76,2.833,07,2,00B,3,45%
März 2011,2.910,91,3.021,45,3.041,39,2.717,74,2,79B,-3,39%
Feb. 2011,3.013,09,2.967,26,3.077,24,2.930,06,2,18B,2,01%
Jan. 2011,2.953,63,2.807,76,3.004,27,2.756,49,2,42B,5,76%
Dez. 2010,2.792,82,2.665,66,2.882,88,2.665,66,1,81B,5,35%
Nov. 2010,2.650,99,2.861,56,2.902,80,2.635,08,2,27B,-6,82%
Okt. 2010,2.844,99,2.747,93,2.891,52,2.690,88,1,62B,3,53%
Sep. 2010,2.747,90,2.629,51,2.827,44,2.610,46,1,97B,4,76%
Aug. 2010,2.622,95,2.756,00,2.849,45,2.560,00,1,75B,-4,35%
Jul. 2010,2.742,14,2.548,49,2.801,46,2.502,50,2,05B,6,56%
Jun. 2010,2.573,32,2.595,63,2.788,73,2.475,71,3,06B,-1,42%
Mai 2010,2.610,26,2.806,71,2.828,79,2.448,10,4,01B,-7,33%
Apr. 2010,2.816,86,2.941,46,3.027,14,2.762,15,1,94B,-3,90%
März 2010,2.931,16,2.743,17,2.969,20,2.737,07,1,71B,7,43%
Feb. 2010,2.728,47,2.763,88,2.842,61,2.617,77,2,04B,-1,74%
Jan. 2010,2.776,83,2.974,86,3.044,37,2.737,33,1,66B,-6,35%
Dez. 2009,2.964,96,2.817,16,3.001,56,2.802,39,1,19B,6,00%
Nov. 2009,2.797,25,2.738,26,2.933,96,2.693,80,1,61B,1,96%
Okt. 2009,2.743,50,2.874,78,2.962,06,2.737,24,1,84B,-4,50%
Sep. 2009,2.872,63,2.785,37,2.915,71,2.674,66,2,18B,3,51%
Aug. 2009,2.775,17,2.637,51,2.831,44,2.587,25,1,86B,5,19%
Jul. 2009,2.638,13,2.410,08,2.668,50,2.258,60,1,87B,9,84%
Jun. 2009,2.401,69,2.475,53,2.549,32,2.343,02,2,00B,-2,02%
Mai 2009,2.451,24,2.376,04,2.499,64,2.318,26,1,87B,3,20%
Apr. 2009,2.375,34,2.065,49,2.400,69,2.021,53,2,23B,14,69%
März 2009,2.071,13,1.963,79,2.167,29,1.765,49,2,36B,4,80%
Feb. 2009,1.976,23,2.214,75,2.358,44,1.937,15,1,77B,-11,66%
Jan. 2009,2.236,98,2.451,69,2.608,15,2.086,09,1,68B,-8,61%
Dez. 2008,2.447,62,2.429,98,2.513,43,2.227,09,1,44B,0,71%
Nov. 2008,2.430,31,2.601,71,2.755,12,2.128,29,1,92B,-6,23%
Okt. 2008,2.591,76,3.057,27,3.130,25,2.178,73,3,11B,-14,69%
Sep. 2008,3.038,20,3.353,33,3.431,08,2.924,13,2,72B,-9,73%
Aug. 2008,3.365,63,3.343,80,3.456,81,3.243,75,1,36B,-0,07%
Jul. 2008,3.367,82,3.341,83,3.410,71,3.089,50,2,17B,0,45%
Jun. 2008,3.352,81,3.775,39,3.777,97,3.298,05,1,94B,-11,25%
Mai 2008,3.777,85,3.835,38,3.900,30,3.695,40,2,14B,-1,23%
Apr. 2008,3.825,02,3.620,24,3.841,91,3.612,72,2,10B,5,43%
März 2008,3.628,06,3.715,59,3.715,59,3.417,25,2,18B,-2,59%
Feb. 2008,3.724,50,3.817,28,3.905,50,3.649,34,1,94B,-1,80%
Jan. 2008,3.792,80,4.393,53,4.411,59,3.528,88,2,60B,-13,79%
